Time (h)	Temperature (K)	Fission rate (fiss / m3 s)	Hydrostatic stress (MPa)	Grain radius (m)	Xe produced (at/m3)	Xe in grain (at/m3)	Xe in intragranular solution (at/m3)	Xe in intragranular bubbles (at/m3)	Xe at grain boundary (at/m3)	Xe released (at/m3)	Kr produced (at/m3)	Kr in grain (at/m3)	Kr in intragranular solution (at/m3)	Kr in intragranular bubbles (at/m3)	Kr at grain boundary (at/m3)	Kr released (at/m3)	Fission gas release (/)	He produced (at/m3)	He in grain (at/m3)	He in intragranular solution (at/m3)	He in intragranular bubbles (at/m3)	He at grain boundary (at/m3)	He released (at/m3)	He fractional release (/)	He release rate (at/m3 s)	Intragranular bubble concentration (bub/m3)	Intragranular bubble radius (m)	Intragranular gas swelling (/)	Burnup (MWd/kgUO2)	U235 (at/m3)	U238 (at/m3)	
0	1600	0	0	5.025331e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.55357e+23	9.55357e+23	4.912369e+10	0	7.27643e+23	0.4323488	0	2.08e+20	7.604626e-14	3.831648e-19	0	2.328887e+26	2.276476e+28	
0.00036	1600	0	0	5.025334e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.553199e+23	9.553199e+23	4.917236e+10	0	7.276801e+23	0.4323708	2.864188e+19	2.08e+20	7.604626e-14	3.831648e-19	0	2.328887e+26	2.276476e+28	
0.00072	1600	0	0	5.025338e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.552828e+23	9.552828e+23	4.917045e+10	0	7.277172e+23	0.4323929	2.861926e+19	2.08e+20	7.607137e-14	3.835444e-19	0	2.328887e+26	2.276476e+28	
0.00108	1600	0	0	5.025341e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.552458e+23	9.552458e+23	4.920104e+10	0	7.277542e+23	0.4324149	2.859667e+19	2.08e+20	7.607038e-14	3.835295e-19	0	2.328887e+26	2.276476e+28	
0.00144	1600	0	0	5.025344e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.552087e+23	9.552087e+23	4.919786e+10	0	7.277913e+23	0.4324369	2.857411e+19	2.08e+20	7.608616e-14	3.837681e-19	0	2.328887e+26	2.276476e+28	
0.0018	1600	0	0	5.025347e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.551717e+23	9.551717e+23	4.921637e+10	0	7.278283e+23	0.4324589	2.855158e+19	2.08e+20	7.608452e-14	3.837433e-19	0	2.328887e+26	2.276476e+28	
0.00216	1600	0	0	5.025351e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.551348e+23	9.551348e+23	4.921234e+10	0	7.278652e+23	0.4324808	2.852909e+19	2.08e+20	7.609406e-14	3.838877e-19	0	2.328887e+26	2.276476e+28	
0.00252	1600	0	0	5.025354e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.550978e+23	9.550978e+23	4.922279e+10	0	7.279022e+23	0.4325028	2.850663e+19	2.08e+20	7.609198e-14	3.838562e-19	0	2.328887e+26	2.276476e+28	
0.00288	1600	0	0	5.025357e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.550609e+23	9.550609e+23	4.92182e+10	0	7.279391e+23	0.4325247	2.84842e+19	2.08e+20	7.609737e-14	3.839378e-19	0	2.328887e+26	2.276476e+28	
0.00324	1600	0	0	5.02536e-06	0	0	0	0	0	0	0	0	0	0	0	0	0	1.683e+24	9.55024e+23	9.55024e+23	4.922327e+10	0	7.27976e+23	0.4325466	2.846181e+19	2.08e+20	7.6095e-14	3.839019e-19	0	2.328887e+26	2.276476e+28	
