[-4.578]	[-4.39488]	[-4.21176]	[-4.02864]	[-3.84552]	[-3.6624]	[-3.47928]	[-3.29616]	[-3.11304]	[-2.92992]	[-2.7468]	[-2.56368]	[-2.38056]	[-2.19744]	[-2.01432]	[-1.8312]	[-1.64808]	[-1.46496]	[-1.28184]	[-1.09872]	[-0.9156]	[-0.73248]	[-0.54936]	[-0.36624]	[-0.18312]	[0.]	[0.18312]	[0.36624]	[0.54936]	[0.73248]	[0.9156]	[1.09872]	[1.28184]	[1.46496]	[1.64808]	[1.8312]	[2.01432]	[2.19744]	[2.38056]	[2.56368]	[2.7468]	[2.92992]	[3.11304]	[3.29616]	[3.47928]	[3.6624]	[3.84552]	[4.02864]	[4.21176]	[4.39488]	[4.578]
[0.90660521]	[-0.17364766]	[0.18637097]	[0.04952381]	[1.55526783]	[0.16287778]	[-0.10709121]	[0.87384138]	[0.2389629]	[2.13912094]	[2.01691668]	[0.76890829]	[0.95351656]	[1.00985736]	[1.5373765]	[-0.02817676]	[1.46370627]	[0.66016619]	[2.2963688]	[-0.27197461]	[0.19470877]	[2.56722383]	[1.77711892]	[-0.53019739]	[1.14819365]	[1.63724647]	[1.49096368]	[1.27058332]	[0.49789977]	[1.13242252]	[1.59003488]	[-0.33800692]	[-0.28139076]	[2.31346087]	[2.52173524]	[0.11966454]	[0.98240451]	[1.17339993]	[0.94899959]	[-0.04883536]	[-0.58725254]	[1.13169013]	[0.91899652]	[0.48157336]	[1.66932336]	[1.27796743]	[1.5098432]	[0.89808351]	[-0.23965562]	[-0.32656635]	[1.90062578]	[-0.37716586]	[0.02471072]	[0.7634305]	[0.97132176]	[2.82226625]	[1.17544151]	[-0.25228363]	[-0.10330275]	[1.73664757]	[1.41205606]	[0.22475118]	[0.04284738]	[-0.5759573]	[2.86727328]	[-1.05260121]	[-0.9675938]	[0.71317744]	[1.5996459]	[-0.1757979]	[-0.30221363]	[2.30300874]	[0.41643377]	[1.18666417]	[-1.05733348]	[2.59108192]	[-2.10161346]	[2.1611]	[-0.15338881]	[-0.24628712]	[1.15526514]	[2.72103378]	[0.63502092]	[-1.23328951]	[-1.18535369]	[-1.68132668]	[2.9638543]	[-2.29188494]	[2.88856211]	[-1.01558995]	[0.15348931]	[-1.94003462]	[-2.46022487]	[2.30633539]	[0.84879425]	[0.40253176]
[2.91636462]	[0.64771398]	[1.31555519]	[1.63798228]	[1.9465309]	[-0.04453648]	[0.62678427]	[1.52818099]	[1.31713028]	[1.48332985]	[-0.39203186]	[0.01452495]	[-0.66455256]	[0.7743952]	[0.33638947]	[0.39152447]	[0.0540422]	[1.69569858]	[0.59717866]	[-0.71649341]	[0.48399068]	[0.76133443]	[-0.46094367]	[1.05424131]	[-0.22672036]	[1.46112655]	[1.44062585]	[-0.20677194]	[1.15029716]	[2.81541683]	[-0.07414295]	[0.89310338]	[1.03815909]	[0.65760701]	[1.70779305]	[-0.74483648]	[1.01678974]	[1.10100199]	[0.54806869]	[-0.1064917]	[0.24300894]	[0.92570722]	[0.17786243]	[0.12074833]	[0.26799175]	[0.15051979]	[0.75050293]	[0.99888677]	[2.34306359]	[1.1261323]	[0.74293391]	[1.96308726]	[2.17766407]	[2.65996074]	[0.54697143]	[0.32598832]	[-0.30072123]	[0.12133782]	[2.73884513]	[0.6280166]	[1.30742851]	[0.62406256]	[2.40337794]	[1.68440449]	[1.51150574]	[0.84982763]	[-0.3563179]	[1.27911744]	[1.30391222]	[-0.1486189]	[1.23321841]	[1.69942601]	[0.34464739]	[0.0548538]	[0.16956517]	[-0.24377483]	[-1.27652312]	[1.9784425]	[-1.56082293]	[2.26545648]	[1.23319254]	[2.06393114]	[2.63656057]	[1.23291466]	[-0.74496648]	[-0.44573318]	[-2.38298742]	[-0.90741038]	[2.2036497]	[0.80316122]	[0.28072975]	[2.38963932]	[1.33616155]	[-2.97056092]	[-2.18131032]	[-0.45263589]	[-0.8551197]	[-2.93128199]	[-2.18764343]	[1.96861907]	[-2.75540276]
[0.83879772]	[1.13271013]	[0.63925903]	[0.95956114]	[0.81806593]	[2.44068349]	[1.73889937]	[0.54369202]	[-0.07517333]	[0.92963163]	[-0.01374866]	[0.55069972]	[0.30909447]	[0.47390879]	[1.81632941]	[1.26411388]	[1.40775485]	[0.4067681]	[0.23762834]	[0.77410595]	[0.88157835]	[0.92962635]	[1.27356699]	[1.01994923]	[0.59708622]	[0.67125043]	[-0.38597419]	[1.14204774]	[1.10295212]	[0.74999249]	[1.07768259]	[1.43208177]	[1.73044126]	[0.18987846]	[0.059367]	[0.8425435]	[2.14822931]	[2.66817737]	[1.30139558]	[1.31026329]	[0.09513368]	[0.16459442]	[-0.264465]	[1.36572054]	[0.32205254]	[-1.19047823]	[0.54887788]	[1.24908011]	[2.55824436]	[1.71613981]	[0.44758529]	[0.61660174]	[0.35805715]	[0.33228369]	[0.41334662]	[1.09922309]	[0.99859386]	[0.40691503]	[1.48915731]	[1.06157913]	[0.70859592]	[-0.00136244]	[-0.46343549]	[-0.05274305]	[0.15505652]	[1.69283538]	[2.61567394]	[0.43301804]	[0.93632483]	[-0.46253443]	[1.44524259]	[2.00437318]	[0.10518883]	[1.67885895]	[0.81296668]	[0.58954117]	[1.20821206]	[-1.10475593]	[0.44133638]	[-1.06260379]	[2.30095582]	[-1.45653581]	[1.60922611]	[-1.34167123]	[-2.53197766]	[2.44325113]	[-0.54127867]	[-2.09929858]	[2.55572995]	[2.89069572]	[-2.24557556]	[-2.56074914]	[-2.84570975]	[-1.35322525]	[-1.93436226]	[2.23712663]	[-2.83352082]	[-2.26261233]	[-2.33443175]	[-1.79543848]	[-0.51063149]
[1.0510265]	[2.3160024]	[0.23911861]	[1.41283001]	[1.48927953]	[0.86558328]	[0.14542267]	[0.81212594]	[1.40214517]	[0.38068515]	[1.48651406]	[-0.56312445]	[1.04709043]	[0.55485736]	[2.33058766]	[1.03082471]	[0.89512855]	[-0.0085543]	[1.24986381]	[0.38032684]	[0.27102974]	[2.0036592]	[0.53435146]	[0.41093197]	[1.04368795]	[1.6961487]	[0.45863955]	[1.5806552]	[0.58956721]	[0.51188649]	[1.58890662]	[0.31905123]	[-0.09418875]	[0.54704645]	[-0.11471695]	[1.35556614]	[1.29915744]	[1.25488711]	[0.82232744]	[0.78591595]	[1.4802616]	[1.23883098]	[1.17915697]	[1.31262259]	[0.80746031]	[1.35787815]	[-0.23980828]	[0.51161372]	[0.61145634]	[0.58266736]	[0.30978888]	[0.69312043]	[1.1231484]	[1.09027946]	[1.1207919]	[0.48123557]	[0.53867671]	[1.15893038]	[1.52252139]	[0.17000579]	[1.00475119]	[0.13584676]	[0.72375228]	[0.22957027]	[0.04460564]	[1.05006687]	[0.77516382]	[0.36606534]	[1.01624019]	[0.28464137]	[1.38216795]	[1.01339429]	[-0.16197425]	[1.23173884]	[0.53056201]	[0.60076775]	[-2.94210767]	[2.40926621]	[2.99784413]	[2.69476164]	[-0.7355756]	[-0.91471046]	[2.11577533]	[-2.62235046]	[-1.2240088]	[-2.50308199]	[-2.87705691]	[-1.58466832]	[2.78472774]	[-0.79646521]	[-2.04655789]	[-0.66058277]	[-0.72536398]	[2.69402986]	[-1.73262761]	[-0.13553897]	[-1.67032192]	[-2.14210714]	[1.86709789]	[2.9148506]	[-0.74148613]
[0.60988855]	[1.22376581]	[0.68353689]	[1.21594155]	[0.68065099]	[1.1616185]	[0.44860984]	[0.51042263]	[0.7701716]	[0.97732123]	[0.38542186]	[0.4851749]	[0.9476806]	[0.47348313]	[0.66229183]	[1.4862748]	[0.45137387]	[0.59605247]	[2.05185959]	[0.63258651]	[1.61969538]	[1.24791246]	[0.18748876]	[0.91738467]	[1.07175244]	[0.67629578]	[1.08522161]	[1.06026402]	[0.73650951]	[0.50343719]	[0.31046623]	[1.33649709]	[1.17407997]	[1.1241817]	[0.66030735]	[0.96143496]	[1.1744349]	[1.20049428]	[0.42654715]	[0.57522393]	[-0.06679316]	[1.31151618]	[0.23974475]	[0.91299813]	[0.62637912]	[1.15601167]	[0.87540499]	[0.39366585]	[0.22161749]	[1.27309225]	[0.76833444]	[0.74463146]	[0.48690776]	[0.58685204]	[0.6765474]	[1.03085491]	[1.50395753]	[1.13149023]	[-0.19759434]	[0.59856662]	[-0.0196482]	[1.00571163]	[0.9758938]	[0.84133913]	[0.49659709]	[0.96481603]	[0.41000422]	[0.88640069]	[0.60986648]	[0.09947294]	[1.49528331]	[1.36769577]	[2.67126249]	[0.95376216]	[0.3881996]	[0.44714905]	[-2.28667597]	[-0.04470653]	[0.64182585]	[-1.47760229]	[2.19769457]	[-0.03832798]	[-0.94894139]	[-2.35649765]	[-2.96826397]	[2.36651032]	[-2.01247231]	[-2.22930407]	[2.86977737]	[-0.44641233]	[-2.59112042]	[2.53708104]	[-2.83692126]	[-2.8994535]	[1.95522977]	[0.19481838]	[-2.25683156]	[-1.77066201]	[-1.15271427]	[-0.4893596]	[-2.31796269]
[0.20139877]	[0.84518427]	[1.09068487]	[1.07236988]	[0.48679209]	[0.61362746]	[0.36952374]	[0.08835258]	[0.36704723]	[0.98831367]	[0.43848709]	[0.39530495]	[0.62714005]	[0.87075506]	[1.14623688]	[0.90856592]	[0.57253354]	[0.8657266]	[0.17243696]	[0.77412885]	[1.37410352]	[0.89353144]	[1.01688853]	[0.77167282]	[0.01115919]	[0.82097708]	[0.44887708]	[0.57277554]	[0.28104244]	[0.32218411]	[0.59348973]	[0.17022781]	[0.46107407]	[0.91172817]	[0.97676122]	[0.53906069]	[0.52367403]	[0.9889189]	[0.96631059]	[0.55215756]	[0.86821826]	[1.11189245]	[0.46846219]	[0.92402578]	[1.05720405]	[1.3454798]	[1.02884828]	[0.81851794]	[0.5577996]	[0.7197734]	[1.2439418]	[0.64254933]	[1.09849991]	[1.15574279]	[0.62298676]	[0.79942843]	[1.36569793]	[1.01466044]	[0.30204677]	[0.65267431]	[0.46396803]	[0.69412444]	[0.62260076]	[0.41754276]	[0.33550244]	[0.58203023]	[1.27304771]	[1.12591446]	[0.4133367]	[0.1719642]	[0.85857654]	[0.82779589]	[0.68559997]	[0.89930184]	[0.72983368]	[1.13801759]	[-1.90989026]	[-0.85342133]	[-0.98485099]	[2.59794292]	[-1.72917267]	[2.60932121]	[-2.87872926]	[-0.39743315]	[1.89686856]	[1.56739051]	[-1.12537333]	[-2.38264551]	[-1.17536994]	[1.83400018]	[-1.02523364]	[1.56889077]	[2.81409034]	[-1.82069233]	[-0.71677952]	[2.92739872]	[-1.34500564]	[-1.94405901]	[-2.75460188]	[2.75405902]	[-1.19534544]
[0.85551201]	[1.04718843]	[0.75038465]	[0.63471111]	[0.93683677]	[1.19040002]	[0.53810258]	[0.48233648]	[0.4308116]	[0.17716469]	[0.71997681]	[1.26653386]	[0.82422801]	[0.9138015]	[0.62990314]	[0.2377268]	[0.7754264]	[0.54199806]	[0.76834048]	[0.75334253]	[0.56602445]	[0.68675756]	[0.45374613]	[0.45025885]	[0.39891142]	[0.94225712]	[0.45680018]	[0.76119601]	[0.68605578]	[0.68685182]	[0.98108344]	[0.49116114]	[0.83703707]	[0.97159176]	[1.16731674]	[1.19303184]	[0.93231883]	[0.91066916]	[0.6155477]	[0.91749246]	[0.76107834]	[0.3849947]	[0.60028424]	[0.92051948]	[0.9614153]	[0.72953634]	[0.75592636]	[0.44903879]	[0.95261862]	[0.74079343]	[1.05450579]	[0.86885249]	[0.81394064]	[0.84560837]	[0.80072423]	[1.21759109]	[0.47961087]	[0.5134985]	[0.59921877]	[0.31552188]	[0.12555757]	[0.78454447]	[1.03471646]	[0.75532814]	[0.7653826]	[0.56353836]	[1.14174672]	[0.83995537]	[0.95024848]	[1.08276015]	[0.97779342]	[0.97067561]	[0.31189292]	[0.50585851]	[1.24641349]	[0.97227294]	[-1.98451551]	[1.4890919]	[-1.68040564]	[-0.66441482]	[2.09730031]	[-0.21299326]	[2.27401327]	[1.69972282]	[-0.67282326]	[-2.70545966]	[-1.54552495]	[-1.23558811]	[-0.49992511]	[-0.45002857]	[-0.93443298]	[-2.02916597]	[-1.6623575]	[-1.46682116]	[-1.44007658]	[1.53070881]	[2.44018447]	[1.45408292]	[-2.82299012]	[2.31377438]	[2.70014554]
[0.91554176]	[1.25196504]	[0.59799565]	[0.85980342]	[0.37660509]	[0.61818854]	[1.03666191]	[0.46086183]	[0.34401344]	[0.60948684]	[0.69645928]	[0.7651929]	[0.92746509]	[1.05216131]	[0.385616]	[0.63518785]	[0.41333209]	[1.16993397]	[0.41375278]	[0.83280632]	[0.89815406]	[0.89870931]	[1.03507222]	[1.00815262]	[0.84180212]	[0.72571686]	[0.60792333]	[0.85058482]	[0.92936356]	[0.39827589]	[1.22302907]	[0.48982371]	[0.78529483]	[0.52627684]	[0.64793389]	[0.54805694]	[0.86836586]	[0.52767237]	[0.98558431]	[0.69739178]	[1.12630753]	[0.90269887]	[1.42807318]	[0.96161328]	[0.90171309]	[0.80913579]	[0.55815604]	[0.74329787]	[0.79301082]	[0.42736525]	[0.74110971]	[0.90778904]	[0.84152518]	[0.81507234]	[0.71896007]	[0.41971124]	[0.93570906]	[0.81441936]	[0.74085079]	[0.73384935]	[0.80132595]	[0.94940555]	[0.89304175]	[0.62786479]	[0.58067919]	[1.16575603]	[0.75416511]	[1.06008086]	[0.81578794]	[0.92254096]	[0.72249512]	[1.16074826]	[0.8303023]	[1.02567339]	[0.81297911]	[0.96419119]	[-1.89339236]	[-0.16945611]	[-0.98994915]	[2.47550043]	[-2.61478872]	[-2.44536347]	[-0.14840937]	[-0.79688972]	[-0.40389231]	[-1.76564617]	[-0.54047524]	[1.31293373]	[2.80734198]	[2.63676179]	[2.52545792]	[1.37869279]	[-1.94679198]	[-0.78445442]	[-1.32010323]	[2.16392981]	[1.7339238]	[-0.89391567]	[-2.24515155]	[-2.34580941]	[1.87352895]
[0.38526714]	[0.71219748]	[0.70553892]	[0.62713343]	[0.99695166]	[0.66644354]	[0.74817727]	[0.7689836]	[0.86947628]	[1.49228666]	[0.57537438]	[0.68029025]	[0.53727248]	[1.2842854]	[0.92904399]	[0.87409249]	[1.07893886]	[0.43541329]	[0.7163975]	[0.99107869]	[1.07881883]	[0.66245178]	[0.88455684]	[1.08922763]	[0.51471931]	[0.80670526]	[0.79347309]	[0.79203493]	[0.80203376]	[0.97814363]	[0.78036945]	[0.39288978]	[0.96683197]	[0.91904806]	[0.81033601]	[0.43424242]	[0.5967057]	[0.59624611]	[0.58558755]	[0.92486529]	[0.8651864]	[0.82334741]	[0.96750087]	[1.16025544]	[0.96226485]	[0.70286925]	[0.55626129]	[0.84808612]	[0.60583945]	[0.84213078]	[0.9327159]	[0.83226782]	[0.84631462]	[0.91086896]	[0.48261371]	[0.45411062]	[0.88619106]	[1.01105698]	[0.92010221]	[0.91960967]	[0.76936812]	[0.75863969]	[0.7565091]	[1.08751301]	[0.88204234]	[0.99345879]	[0.6826473]	[0.8160854]	[0.90482206]	[0.7914836]	[0.48611363]	[0.67637971]	[0.72704853]	[0.89494067]	[0.41831793]	[0.67574353]	[-0.09966913]	[1.56391605]	[-0.6073867]	[1.92599717]	[-1.17385452]	[1.98256616]	[2.5674197]	[2.3834689]	[2.23081193]	[2.21397046]	[0.01846157]	[0.13667696]	[2.3293655]	[1.58706303]	[-1.25767114]	[-2.81029085]	[-0.71669782]	[-1.38085598]	[0.30536286]	[-2.82308753]	[-0.66153507]	[-1.44366971]	[-2.53897987]	[-2.55412541]	[2.2533833]
[0.81181361]	[0.77014365]	[0.89979223]	[0.91732281]	[0.82352923]	[0.8801047]	[0.84237843]	[0.84311574]	[0.5569467]	[0.70433757]	[0.37747867]	[0.59021382]	[0.49134856]	[0.52283134]	[0.90834231]	[0.56247414]	[0.80802179]	[0.93993759]	[0.75700724]	[0.83784701]	[0.71281877]	[0.90518901]	[1.0250742]	[0.7511872]	[0.86314243]	[0.81494138]	[0.58129478]	[0.98220624]	[0.78469083]	[1.01443381]	[0.88779401]	[0.40211792]	[0.80371502]	[0.90954446]	[0.7594282]	[0.4968583]	[0.75864643]	[0.81864795]	[0.89494747]	[0.55615806]	[0.67938641]	[0.88235776]	[0.84479868]	[0.76269528]	[1.01836433]	[0.96888645]	[0.94181669]	[0.68382248]	[0.87143997]	[0.91022775]	[1.02572013]	[0.97733274]	[0.91428096]	[0.89122424]	[0.81755851]	[0.69659942]	[1.00282737]	[0.85327034]	[0.9122788]	[0.92168201]	[0.49201985]	[0.81137407]	[0.73499556]	[0.74318453]	[1.02648564]	[1.01292099]	[0.80172011]	[1.16177266]	[1.04345946]	[0.84761206]	[0.87566222]	[0.91348737]	[0.93941882]	[0.68256466]	[1.09169655]	[0.79282691]	[-0.83627869]	[1.21880099]	[-1.11234066]	[-2.0396829]	[-2.90956165]	[2.16272766]	[1.83287552]	[-1.92639277]	[0.18424357]	[1.39238242]	[2.11013673]	[1.44505395]	[-0.0250287]	[2.76747858]	[0.22471032]	[-0.24477032]	[-1.70295844]	[-0.22638734]	[-0.05468145]	[-0.92858949]	[-2.97828131]	[-1.06495358]	[-2.67131723]	[2.74839911]	[-0.55491277]
[0.8960042]	[0.89066651]	[0.81844436]	[0.80423557]	[0.77732489]	[0.76189133]	[0.85186421]	[0.92704872]	[0.48877228]	[0.81332237]	[0.82730791]	[0.90488466]	[0.78600327]	[0.86145668]	[0.983023]	[0.82542697]	[0.85308264]	[0.86012378]	[0.87884206]	[0.74687724]	[0.65147204]	[0.9374498]	[0.99616019]	[0.43269613]	[0.73486099]	[0.89307211]	[0.79510133]	[0.82362763]	[0.83643283]	[0.89667641]	[0.7879736]	[0.7910344]	[0.91110129]	[0.82656726]	[1.0176983]	[0.73733735]	[0.92204748]	[0.83686505]	[0.92730705]	[0.94420577]	[0.73957797]	[0.83795216]	[0.88823038]	[0.80445523]	[0.82434184]	[0.88407518]	[0.73404544]	[0.75131622]	[0.89683813]	[0.78574875]	[0.73267632]	[1.05852846]	[0.87360666]	[0.78697334]	[0.85106325]	[1.04977846]	[0.81084914]	[0.76454692]	[0.75252184]	[0.86073559]	[0.79251106]	[1.00895039]	[0.89447614]	[0.78201055]	[0.81079847]	[0.93923682]	[0.97956835]	[0.91332554]	[0.86397485]	[0.73339135]	[0.81519532]	[0.8648425]	[0.91804063]	[0.87886495]	[0.79921803]	[0.80080148]	[-2.10598635]	[2.36934252]	[-2.14722524]	[-2.77535559]	[2.27065598]	[1.68592036]	[-0.3477866]	[0.33214629]	[-0.36267149]	[-2.82981688]	[-1.84334846]	[-2.29807571]	[-2.85607773]	[-1.85247126]	[-1.4488804]	[-0.44794046]	[2.44521556]	[1.68233112]	[0.01148228]	[1.55153647]	[2.87638052]	[-1.22812269]	[-2.53005728]	[1.91570445]	[-2.28338604]
[0.75335133]	[0.82443263]	[0.893268]	[0.80406543]	[0.85126738]	[0.83471463]	[0.86657917]	[0.76092137]	[0.81687631]	[0.75830623]	[0.87903067]	[0.82296724]	[0.9204941]	[0.80258139]	[0.79381185]	[0.77948531]	[0.78208247]	[0.90484509]	[0.6794078]	[0.81963436]	[0.90039497]	[0.81036242]	[0.8572957]	[0.81689457]	[0.81929966]	[0.73319459]	[0.89703582]	[0.82286788]	[0.73299737]	[0.76684922]	[0.79298776]	[0.76883259]	[0.94376374]	[0.84547428]	[0.91042563]	[0.74652418]	[0.79555239]	[0.82132316]	[0.89373596]	[0.93251568]	[0.86199862]	[0.76252445]	[0.80614974]	[0.76086362]	[0.92845077]	[0.77564041]	[0.89716551]	[0.83385644]	[0.84077227]	[0.79256559]	[0.77881415]	[0.85922214]	[0.84418159]	[0.80076973]	[0.78717646]	[0.78822102]	[0.76097513]	[0.86781105]	[0.94976894]	[0.77301972]	[0.91098288]	[0.86219913]	[0.89382283]	[0.90566928]	[0.9071934]	[0.86731795]	[0.81967521]	[0.81391232]	[0.81696054]	[0.85443423]	[0.90774065]	[0.79779209]	[0.76538434]	[0.93112494]	[0.74357621]	[0.92697354]	[-0.971072]	[2.95856594]	[0.55122622]	[-1.36023623]	[-1.62995789]	[0.06359792]	[-0.92011167]	[-1.64437073]	[2.98159434]	[-0.77104533]	[1.61393304]	[-0.74984365]	[0.06417532]	[2.19980483]	[2.21120937]	[0.23192661]	[-0.58311463]	[1.44422492]	[-0.71637616]	[-2.92497731]	[-0.21024776]	[-1.73915518]	[-0.85867735]	[0.05879293]	[-2.03201288]
